L T M error tau
16 2.466666666666667 33753.82035928144 797.848313 3.4748690714080084
16 2.56 27710.047904191615 487.290686 3.280047576941632
16 2.6533333333333333 14418.187624750499 520.142595 3.4535925185381964
16 2.7466666666666666 10009.489021956088 259.812463 3.4095578929673085
16 2.84 11066.375249500998 434.590075 3.4157691914425867
16 2.933333333333333 10483.36127744511 258.670193 3.3775869586361904
16 3.0266666666666664 6510.071856287425 131.519653 3.2639037602300993
16 3.12 9162.239520958085 193.723838 3.299145556520282
16 3.213333333333333 5955.584830339321 215.470297 3.2957217659084512
16 3.3066666666666666 6303.840319361278 177.929979 3.2855909539281054
16 3.4 4486.45508982036 95.08134 3.036067165623664
20 2.0 17413.08982035928 101.243207 2.9435301839324413
20 2.0933333333333333 133363.500998004 688.673411 3.3612035749804154
20 2.1866666666666665 132158.97005988023 573.086019 3.2511508306962025
20 2.28 121227.16966067864 611.877247 3.174351551711741
20 2.373333333333333 79087.22554890219 988.929914 3.43136270983182
20 2.466666666666667 97070.59081836327 1822.953864 3.507080599982615
20 2.56 68010.68662674651 874.205244 3.379158985667007
20 2.6533333333333333 64417.157684630736 1615.229952 3.5003811109716914
20 2.7466666666666666 43460.78642714571 740.200419 3.444436384019102
20 2.84 51662.74251497006 1490.311946 3.5065179255466816
20 2.933333333333333 28758.047904191615 797.152135 3.4714402891242195
20 3.0266666666666664 20865.38123752495 410.21657 3.4086542297770466
20 3.12 17437.10978043912 249.259831 3.368386779210636
20 3.213333333333333 19978.45908183633 542.131277 3.4637892678893163
20 3.3066666666666666 17577.31337325349 128.882222 3.1550911563693127
20 3.4 15088.51497005988 230.81066 3.285582731240416
24 2.0 38673.71656686627 453.315133 3.3860797017871316
24 2.0933333333333333 288647.7405189621 1152.871667 3.4247091488125765
24 2.1866666666666665 252745.60878243513 1400.540832 3.412960358743686
24 2.28 251765.02594810378 1269.57753 3.376368975576285
24 2.373333333333333 220101.4491017964 1596.72513 3.4392761713407918
24 2.466666666666667 238310.33532934132 1102.167644 3.3135648217883884
24 2.56 177366.79041916167 1474.335237 3.4161960803393203
24 2.6533333333333333 137146.84630738522 1324.774638 3.3878048859246466
24 2.7466666666666666 96946.83433133732 1346.358869 3.462756174208536
24 2.84 105549.00199600798 2644.326296 3.5402817169934178
24 2.933333333333333 93851.95608782435 1803.826128 3.5126397828280513
24 3.0266666666666664 55877.844311377245 292.235484 3.395682535900763
24 3.12 42217.09780439122 435.761196 3.435881884070935
24 3.213333333333333 41017.27345309381 149.965637 3.229218405893674
24 3.3066666666666666 29003.784431137723 388.458018 3.3857113731560045
24 3.4 37328.74251497006 126.247826 3.0999084725200916
