L T order error tau
16 3.12 0.2535475923153693 0.004463 3.0118545328276345
16 3.213333333333333 0.22934599550898205 0.0118 3.4193250423924044
16 3.3066666666666666 0.1499500998003992 0.004252 2.7169368558650975
16 3.4 0.20201783932135728 0.007425 3.2147280480443525
20 2.0 0.19023453093812376 0.005918 3.3917687556243195
20 2.0933333333333333 0.9245209580838324 0.001918 3.2176995205437686
20 2.1866666666666665 0.8746706586826348 0.002204 3.1992714073875566
20 2.28 0.8324351297405191 0.003471 3.380417133686036
20 2.373333333333333 0.8586576846307385 0.004075 3.434041486872003
20 2.466666666666667 0.5465019960079841 0.008798 3.4975627580869992
20 2.56 0.4578343313373254 0.012989 3.5218136648054505
20 2.6533333333333333 0.5942714570858284 0.004504 3.3024018825845443
20 2.7466666666666666 0.6343912175648703 0.005175 3.379121552846139
20 2.84 0.5212125748502995 0.006492 3.4217617506224283
20 2.933333333333333 0.3904141716566866 0.008148 3.473936511087914
20 3.0266666666666664 0.26262974051896204 0.004356 3.281464097045719
20 3.12 0.40072854291417165 0.004906 3.30511832793367
20 3.213333333333333 0.16466566866267465 0.003482 2.9641135690915155
20 3.3066666666666666 0.21987524950099796 0.006477 3.3514255597071965
20 3.4 0.1735179640718563 0.003182 2.980047943628663
24 2.0 0.18637378021734308 0.00537 3.445152238055853
24 2.0933333333333333 0.9305798125970282 0.002109 3.4619001385187547
24 2.1866666666666665 0.9219096529163894 0.001637 3.31648483258876
24 2.28 0.8701312652472832 0.002807 3.4409985445416447
24 2.373333333333333 0.7685358449767133 0.002538 3.349134196894834
24 2.466666666666667 0.7582716511421601 0.001371 2.976679310216183
24 2.56 0.6052201153249057 0.007614 3.517461379391989
24 2.6533333333333333 0.672620037702373 0.004713 3.4529355342310133
24 2.7466666666666666 0.5026024340208471 0.010968 3.531702260062434
24 2.84 0.5279960911510312 0.003948 3.3387115724342045
24 2.933333333333333 0.48986748724772683 0.004133 3.3916832096171357
24 3.0266666666666664 0.4423063595032158 0.006051 3.4693275389695715
24 3.12 0.3942496950543357 0.008676 3.516917738114765
24 3.213333333333333 0.3572230538922156 0.005938 3.443221881295079
24 3.3066666666666666 0.33273383787979594 0.003977 3.355725252808163
24 3.4 0.2819153359946773 0.003745 3.318411464304672
